Image_ID,Model,Caption,BLEU4,ROUGE_L,CIDEr,BERTScore,Caption_Length
1243756.jpg,GPT,"A man wearing funny clothes and a scarf on his head sits outside, looking to the side.",0,0.285714286,0.070955882,0.384615385,17
1243756.jpg,BLIP-2,a man sitting on a lawn chair,0,0.444444444,0.224285714,0.5,7
1243756.jpg,ClipCap,A man sitting on a bench with a microphone.,0,0.4,0.152777778,0.352941176,9
1243756.jpg,Claude,"A man sitting in a folding chair at an outdoor event, with an ice cream truck in the background.",0.209734258,0.388888889,0.143415678,0.428571429,19
1254659.jpg,GPT,Two workers prepare food at a Mongolian BBQ restaurant under a bright neon sign.,0.242195354,0.545454545,0.140671828,0.592592593,14
1254659.jpg,BLIP-2,"a neon sign that says ""mongolian bbq""",0,0.272727273,0.073809524,0.285714286,7
1254659.jpg,ClipCap,A man standing next to a table with a grill.,0,0.16,0.065,0.133333333,10
1254659.jpg,Claude,Two people working in the kitchen of a Mongolian BBQ restaurant.,0.35084397,0.555555556,0.163926768,0.555555556,11
1283466.jpg,GPT,Two big construction machines are tearing down a building surrounded by rubble.,0,0.363636364,0.064090909,0.380952381,12
1283466.jpg,BLIP-2,a pile of rubble,0.60653066,0.421052632,0.2625,0.5,4
1283466.jpg,ClipCap,A pile of garbage sitting on top of a dirt field.,0.339325134,0.384615385,0.116098485,0.476190476,11
1283466.jpg,Claude,Construction equipment demolishing a building with debris scattered around.,0,0.210526316,0.05,0.222222222,9
134206.jpg,GPT,Baseball players are on the field during a game in a large stadium.,0,0.518518519,0.130244755,0.56,13
134206.jpg,BLIP-2,a baseball game in progress,0,0.363636364,0.1125,0.363636364,5
134206.jpg,ClipCap,A baseball game is in progress with the pitcher throwing the ball.,0,0.444444444,0.079924242,0.470588235,12
134206.jpg,Claude,A baseball game in progress at a stadium with players on the field.,0,0.434782609,0.116666667,0.56,13
148284.jpg,GPT,A smiling man wearing a yellow shirt and apron stands by an information board with a cart.,0.371842144,0.578947368,0.201957283,0.571428571,17
148284.jpg,BLIP-2,a man in a yellow shirt,0.367879441,0.666666667,0.54,0.625,6
148284.jpg,ClipCap,A man standing in front of a luggage cart.,0.3678278,0.5,0.362698413,0.545454545,9
